Rango1,Unidad_lito1,Edad1,Abreviatura1,Rango2,Unidad_lito2,Edad2,Abreviatura2
Grupo,Alamor,K,A,,,,
Grupo,Ancon,E,An,Formacion,Seca,E,S
,,,,Formacion,Socorro,E,Soc
,,,,Formacion,Clay Pebble Beds,E,Cpb
Grupo,Angamarca,PcE,Ag,Formacion,Rumi Cruz,E,Rc
,,,,Formacion,Unacota,E,U
,,,,Formacion,Pilalo,PcE,P
,,,,Formacion,Gallo Rumi,PcE,Gr
,,,,Formacion,Apagua,PcE,A
Grupo,Azucar,Pc,Az,,,,
Grupo,Daule,MPL,D,,,,
Grupo,Saraguro,EM,S,Formacion, Jubones,M,Sj
,,,,Formacion,La Fortuna,O,Sf
,,,,Formacion,Plancharumi,O,Sp
,,,,Formacion,Soldados,O,Ss
,,,,Formacion,Cerro Caucay,O,Scc
,,,,Formacion,Rio Blanco,O,Srb
,,,,Formacion,Chanlud,O,Scd
,,,,Formacion,Las Trancas,E,St
,,,,Formacion,Ocana,E,So
Grupo,Tahuin,|,T,,,,
Grupo,Zapotillo,K,Z,Formacion,Chaquino,K,Ch
,,,,Formacion,Mangahurco,K,Mg
,,,,Formacion,Tronco Quemado,K,Tq
Grupo,Zumbagua,M,Z,,,,
Formacion,Abanico,|?,A,,,,
Formacion,Alausi,MPL,A,,,,
Formacion,Ambuqui (Guamote),J,Ga,,,,
Formacion,Angostura,M,Ag,,,,
Formacion,Apagua,PcE,A,,,,
Formacion,Arajuno,M,A,,,,
Formacion,Azogues,M,Az,Miembro,Cochas,M,C
,,,,Miembro,Guapan,M,G
,,,,Miembro,El Carmen,M,Ec
Formacion,Baba,PLPl,B,,,,
Formacion,Balzar,PL,B,,,,
Formacion,Belen,M,Be,,,,
Formacion,Biblian,M,B,,,,
Formacion,Borbon,MPL,Bb,,,,
Formacion,Cangagua,Q,C,,,,
Formacion,Canaveral,K,Cv,,,,
Formacion,Catamayo,M,Ca,,,,
Formacion,Cayo,K,Cy,,,,
Formacion,Cazaderos,K,Cz,,,,
Formacion,Celica,K,C,,,,
Formacion,Cerro,E,C,,,,
Formacion,Cerro Mandango,MPL,Cm,,,,
Formacion,Chalcana,OM,Ch,,,,
Formacion,Chambira,M,Ch,,,,
Formacion,Chapiza,J,Ch,,,,
Formacion,Chichi,Pl ,Ch,,,,
Formacion,Chinchillo,M,Chi,,,,
Formacion,Chinchin,E,Ch,,,,
Formacion,Chota,PL,Ch,,,,
Formacion,Ciano,K,Cn,,,,
Formacion,Cisaran,M,Cn,,,,
Formacion,Dos Bocas,OM,Db,,,,
Formacion,El Consuelo,M,Ec,,,,
Formacion,Gallo Rumi,PcE,Gr,,,,
Formacion,Gonzanama,M,Gz,,,,
Formacion,Guayaquil,KPc,Gy,,,,
Formacion,Hollin,K,H,,,,
Formacion,Iguincha,M,Ig,,,,
Formacion,Javita,E,J,,,,
Formacion,Las Delicias,EO,Ld,,,,
Formacion,Las Masas,E,Lm,,,,
Formacion,Latacunga,PL,L,,,,
Formacion,Letrero,M,Lt,,,,
Formacion,Loma Blanca,OM,Lb,,,,
Formacion,Loma La Cruz,M,Llc,,,,
Formacion,Loyola,M,L,,,,
Formacion,Macuchi,PcE,M,,,,
Formacion,Macuma,C,M,,,,
Formacion,Mangan,M,M,,,,
Formacion,Mera,PL,M,,,,
Formacion,Mesa,PL,Ms,,,,
Formacion,Misahualli,J,M,,,,
Formacion,Mora,OM,M,,,,
Formacion,Moraspamba,MPL,M,,,,
Formacion,Napo,K,N,,,,
Formacion,Onzole ,M,Oz,,,,
Formacion,Palmira,PL,Pa,,,,
Formacion,Pambil,O,P,,,,
Formacion,Penas Coloradas,PL,Pc,,,,
Formacion,Pichilingue,Q,Pch,,,,
Formacion,Picota,M,Pc,,,,
Formacion,Pilalo,PcE,P,,,,
Formacion,Pinon,JK,P,,,,
Formacion,Pisayambo,PL,Py,,,,
Formacion,Playa Rica,O ,Pr,,,,
Formacion,Progreso,M,Pg,,,,
Formacion,Pumbuiza,|,P,,,,
Formacion,Puna,PLPl,Pu,Miembro,Lechuza,Pl,Lh
,,,,Miembro,Placer ,PL,P
Formacion,Punta Ancon,E,Pa,,,,
Formacion,Punta Blanca,E,Pb,,,,
Formacion,Punta Ostiones,E,Po,,,,
Formacion,Puyango,K,Py,,,,
Formacion,Quebrada Seca,M?,Qs,,,,
Formacion,Quebrada Los Zabalos,K,Qz,,,,
Formacion,Quillollaco,MPL,Q,,,,
Formacion,Quimsacocha,PL,Q,,,,
Formacion,Quinara,M,Qu,,,,
Formacion,Quingeo,E,Q,,,,
