Rango1	Unidad_lito1	Edad1	Abreviatura1	Rango2	Unidad_lito2	Edad2	Abreviatura2
Grupo	 Alamor	K	A				
Grupo	Ancón	E	An	Formación	Seca	E	S
Grupo	Ancón	E	An	Formación	Socorro	E	Soc
Grupo	Ancón	E	An	Formación	Clay Pebble Beds	E	Cpb
Grupo	 Angamarca 	PcE	Ag	Formación	 Rumi Cruz	E	Rc
Grupo	 Angamarca 	PcE	Ag	Formación	 Unacota	E	U
Grupo	 Angamarca 	PcE	Ag	Formación	 Pilaló	PcE	P
Grupo	 Angamarca 	PcE	Ag	Formación	 Gallo Rumi	PcE	Gr
Grupo	 Angamarca 	PcE	Ag	Formación	 Apagua	PcE	A
Grupo	Azúcar	Pc	Az				
Grupo	Daule	MPL	D				
Grupo	Saraguro	EM	S	Formación	 Jubones	M	Sj
Grupo	Saraguro	EM	S	Formación	 La Fortuna	O	Sf
Grupo	Saraguro	EM	S	Formación	 Plancharumi	O	Sp
Grupo	Saraguro	EM	S	Formación	 Soldados	O	Ss
Grupo	Saraguro	EM	S	Formación	 Cerro Caucay	O	Scc
Grupo	Saraguro	EM	S	Formación	 Río Blanco	O	Srb
Grupo	Saraguro	EM	S	Formación	 Chanlud	O	Scd
Grupo	Saraguro	EM	S	Formación	 Las Trancas	E	St
Grupo	Saraguro	EM	S	Formación	 Ocaña	E	So
Grupo	 Tahuín	Pz	T				
Grupo	Zapotillo	K	Z	Formación	Chaquino	K	Ch
Grupo	Zapotillo	K	Z	Formación	Mangahurco	K	Mg
Grupo	Zapotillo	K	Z	Formación	Tronco Quemado	K	Tq
Grupo	 Zumbagua	M	Z				
Formación	Abanico	Pz?	A				
Formación	Alausí	MPL	A				
Formación	Ambuquí (Guamote)	J	Ga				
Formación	Angostura	M	Ag				
Formación	Apagua	PcE	A				
Formación	Arajuno	M	A				
Formación	Azogues	M	Az	Miembro	Cochas	M	C
Formación	Azogues	M	Az	Miembro	Guapán	M	G
Formación	Azogues	M	Az	Miembro	El Carmen	M	Ec
Formación	Baba	PLPl	B				
Formación	Balzar	PL	B				
Formación 	Belén	M	Be				
Formación	Biblian	M	B				
Formación	Borbón	MPL	Bb				
Formación	Cangagua	Q	C				
Formación	Canaveral	K	Cv				
Formación	Catamayo	M	Ca				
Formación	Cayo	K	Cy				
Formación	Cazaderos	K	Cz				
Formación	Celica	K	C				
Formación	Cerro	E	C				
Formación	Cerro Mandango	MPL	Cm				
Formación	Chalcana	OM	Ch				
Formación	Chambira	M	Ch				
Formación	Chapiza	J	Ch				
Formación	Chichi	Pl 	Ch				
Formación	Chinchillo	M	Chi				
Formación 	Chinchín	E	Ch				
Formación	Chota	PL	Ch				
Formación	Ciano	K	Cn				
Formación	Cisarán	M	Cn				
Formación	Dos Bocas	OM	Db				
Formación	El Consuelo	M	Ec				
Formación	Gallo Rumi	PcE	Gr				
Formación	Gonzanamá	M	Gz				
Formación	Guayaquil	KPc	Gy				
Formación	Hollín	K	H				
Formación	Iguincha	M	Ig				
Formación	Javita	E	J				
Formación	Las Delicias	EO	Ld				
Formación	Las Masas	E	Lm				
Formación	Latacunga	PL	L				
Formación	Letrero	M	Lt				
Formación	Loma Blanca	OM	Lb				
Formación	Loma La Cruz	M	Llc				
Formación	Loyola	M	L				
Formación	Macuchi	PcE	M				
Formación	Macuma	C	M				
Formación	Mangán	M	M				
Formación	Mera	PL	M				
Formación	Mesa	PL	Ms				
Formación 	Misahuallí	J	M				
Formación	Mora	OM	M				
Formación	Moraspamba	MPL	M				
Formación	Napo	K	N				
Formación	Onzole 	M	Oz				
Formación	Palmira	PL	Pa				
Formación	Pambil	O	P				
Formación	Peñas Coloradas	PL	Pc				
Formación	Pichilingue	Q	Pch				
Formación	Picota	M	Pc				
Formación	Pilaló	PcE	P				
Formación	Piñón	JK	P				
Formación	Pisayambo	PL	Py				
Formación	Playa Rica	O 	Pr				
Formación	Progreso	M	Pg				
Formación 	Pumbuiza	Pz	P				
Formación	Puná	PLPl	Pu	Miembro	Lechuza	Pl	Lh
Formación	Puná	PLPl	Pu	Miembro	Placer 	PL	P
Formación	Punta Ancón	E	Pa				
Formación	Punta Blanca	E	Pb				
Formación	Punta Ostiones	E	Po				
Formación	Puyango	K	Py				
Formación	Quebrada Seca	M?	Qs				
Formación	Quebrada Los Zábalos	K	Qz				
Formación	Quillollaco	MPL	Q				
Formación	Quimsacocha	PL	Q				
Formación	Quinara	M	Qu				
Formación	Quingeo	E	Q				
Formación	Río Playas	E?	P				
Formación 	Riobamba	Pl	R				
Formación	Rumi Cruz	E	Rc				
Formación	Salapa	PLPl	Sl				
Formación	San Cayetano	M	Sc	Miembro	La Banda	M	Lbd
Formación	San Eduardo	E	Se				
Formación	San Francisco	M	Sfr				
Formación	San José	M	Sjo				
Formación	San Lorenzo	Pc	Sl				
Formación	San Mateo	E	Sm				
Formación	San Tadeo	PL?	St				
Formación	Santa Isabel	M	Sa				
Formación	Santiago	J	S				
Formación	Santo Domingo	M	Sd				
Formación 	Suárez	J	Sz				
Formación	Subibaja	M	Sb				
Formación	Tablazo	Pl	T				
Formación	Tambo Viejo   	MPL	Tv				
Formación	Tarqui	MPL	T	Miembro	Chaparro	M	Chp
Formación	Tarqui	MPL	T	Miembro	Llacao	PL	Ll
Formación	Tena	K	T				
Formación	Tiyuyacu	PcE	T				
Formación	Tosagua	OM	T				
Formación	Trigal	M	Tr				
Formación	Turi	M	Tu	Miembro	Nazon	M	Nz
Formación	Turi	M	Tu	Miembro	Virgen de la Nube	M	Vn
Formación	Turupamba	M	Tp				
Formación	Uchucay	M	U				
Formación	Unacota	E	U				
Formación	Viche	M	V				
Formación	Villingota	M	Vg				
Formación	Yaruquíes	MPL?	Y				
Formación	Yunguilla	K	Y				
Formación 	Zambi	K	Z				
Formación	Zapallo	E	Z				
Formación	Zapotal	OM	Z				
Formación	Zarapullo	Pl ?	Z				
Complejo	Granitoide Moromoro	Tr	M	Granodiorita El Prado	Tr	Mp	
Complejo	Granitoide Moromoro	Tr	M	Granitoide La Florida	Tr	Mf	
Complejo	Granitoide Moromoro	Tr	M	Granodiorita Marcabelí	Tr	Mm	
Complejo	Intrusivo de Zamora	J	Z				
Complejo	Máfico Piedras	Tr	P				
Complejo 	Peñas Blancas	PzTr	Pb				
Complejo	Ofiolítico Raspas	K	R				
División	Melange Palenque	JK	P				
Unidad 	Abañín	MPL	Ab				
Unidad	Agoyán (Loja)	Pz	La				
Unidad	Ahuaca	M	Ah				
Unidad	Alao-Paute (Alao)	J	Aa				
Unidad 	Altar Urcu	E	Au				
Unidad 	Amorgeo	MPL	A				
Unidad	Arenillas (Piedras)	Tr	Pa				
Unidad	Arrayanes	E	Ar				
Unidad	Ayapamba	OM	Ay				
Unidad	Azabí	O?	Az				
Unidad	Azafrán (Salado)	J	Sa				
Unidad	Bramaderos	K	Br				
Unidad	Calera (Saraguro)	OM	Ca				
Unidad	Cambugan	K	Cb				
Unidad	Campo Real	JK	Cr				
Unidad 	Capicashi 	M	Cp				
Unidad	Capilla	Pc	Cp				
Unidad 	Carboncillo	MPL	C				
Unidad	Casanga	K	Ca				
Unidad	Catacocha	OM?	Ct				
Unidad	Cebadas (Guamote)	J	Gc				
Unidad	Cera	Pz	Ce				
Unidad	Cerro Colorado (Misahualli)	J	Cc				
Unidad	Cerro Hermoso (Salado)	J	Sh				
Unidad	Cerro Volador	EO	V				
Unidad	Chaguarpamba	K	Ch				
Unidad	Changaimina	Pc	Ch				
Unidad	Chigüinda (Loja)	Pz	Lc				
Unidad 	Chili Fruta	M	Cf				
Unidad	Chilla	M	Ch				
Unidad 	Chillacocha	MPL	Cc				
Unidad 	Chilpe Potrero (Saraguro)	O	Cp				
Unidad 	Chiriyacu	Tr?	C				
Unidad	Chito (Misahualli)	J	Cht				
Unidad	Chulo (Saraguro)	E	Sc				
Unidad	Collapi	PcE	C				
Unidad	Colorado	K	Co				
Unidad 	Condorcaca	MPL?	Cc				
Unidad	Congüime	PL?	Cg				
Unidad	Corral Viejo (Saraguro)	O	Cv				
Unidad	Culanga	PL	Cu				
Unidad 	Cullo Pugro	M	Cp				
Unidad	Cuyuja (Salado)	J	Sc				
Unidad 	Del Duco (Saraguro)	O	D				
Unidad 	El Aromo	E	Ea				
Unidad	El Carmen del Laurel	PL	Cl				
Unidad	El Cristal	MPL	Ec				
Unidad	El Fundo	PL	F				
Unidad	El Guayabo	JK	Gy				
Unidad	El Ingenio (Saraguro)	O?	Ei				
Unidad	El Laurel	E	L				
Unidad	El Pan (Alao)	J	Ae				
Unidad 	El Quingueado (Saraguro)	O	Eq				
Unidad 	El Tambo (Saraguro)	O	Et				
Unidad	El Tigre (Tahuin)	Pz	Tt				
Unidad	El Toro	K	Ot				
Unidad 	Fasañan	MPL	F				
Unidad	Filo Cajas (Saraguro)	EO?	Sfc				
Unidad 	Florida Alta	Pc	Fa				
Unidad 	Gima  (Saraguro)	O	Gi				
Unidad	Gonzabal	Pc	Gb				
Unidad 	Granadilla (Saraguro)	O	G				
Unidad 	Gualaceo	MPL	G				
Unidad	Gualel	O	Gl				
Unidad	Guasuntos (Guamote)	J	Gg				
Unidad	Guayabal	OM	Gl				
Unidad	Gulacpamba	M	Gu				
Unidad 	Gullian	M	Gn				
Unidad	Huacapamba	Pz	Lh				
Unidad 	Huartiguro	MPL	Ht				
Unidad	Huayco	M	Hy				
Unidad	Huayrapungu	O	H				
Unidad	Huiñacay	MPL	Hñ				
Unidad	Iguinda	K	Ig				
Unidad	Illaca	M	Il				
Unidad	Infiernillo	PL	If				
Unidad 	Irunuma	K	Ir				
Unidad	Isimanchi	Pz	I				
Unidad 	Jalincapac	M	Jc				
Unidad	La Bocana (Moromoro)	Tr	Mb				
Unidad	La Chilca (Raspas)	K	Or				
Unidad	La Cruz	Pc	Lc				
Unidad	La Cubera	Pc	C				
Unidad 	La Huaca	M	Lh				
Unidad	La Ramada	K	Ra				
Unidad	La Saquea (Misahualli)	J	Sa				
Unidad	La Victoria (Tahuin)	Pz	Tv				
Unidad 	Las Nieves (Saraguro)	O	Ln				
Unidad 	Ligcho	MPL	Lg				
Unidad	Limón Playa	Tr	Ml				
Unidad	Loma Bernabe	Pc	Lbe				
Unidad 	Loma Las Muchicas	M	Llm				
Unidad	Loma Palta	OM	Lp				
Unidad	Loma Taminanga	EO	T				
Unidad 	Loma Zhio	M	Lz				
Unidad	Los Encuentros	Pc	Le				
Unidad	Maguazo (Alao)	J	Am				
Unidad	Mesa Loma	M	Ml				
Unidad 	Minas Santa Rosa	K	Ms				
Unidad	Mishquiyacu	O	Mi				
Unidad	Monte Olivo (Loja)	Tr	Lm				
Unidad 	Mozo	M	Mz				
Unidad	Mulaute	K	Ml				
Unidad 	Namasara	M	Na				
Unidad	Naranjal	K	Na				
Unidad	Naranjo	K	Nj				
Unidad	Natividad	K	Nt				
Unidad 	Nonadel	E	No				
Unidad	Nueva Esperanza (Misahualli)	J	Ne				
Unidad	Pachicutza	Tr	Pch				
Unidad	Pallatanga	K	Pa				
Unidad	Pasa Loma	MPL	Pl				
Unidad	Peltetec (Alao)	J	Ap				
Unidad	Pilatón	K	Pl				
Unidad	Piuntza	Tr	Pz				
Unidad	Plan del Oso	P_?	Po				
Unidad	Portovelo (Saraguro)	OM	Pv				
Unidad 	Primavera	OM	Pr				
Unidad 	Pucapamba	M	Pu				
Unidad	Pucarón	J?	Pc				
Unidad	Pujilí	K	Pj				
Unidad	Punín (Guamote)	J	Gp				
Unidad	Punta de Piedra	K	Pp				
Unidad	Puñay (Saraguro)	OM?	Spñ				
Unidad 	Purin	M	Pr				
Unidad	Quebrada El Volcán	Tr?	Qv				
Unidad	Quebrada Plata (Piedras)	Tr	Pp				
Unidad 	Quebrada Tasqui 	M	Qt				
Unidad	Quera Chico (Moromoro)	Tr	Mq				
Unidad	Quilanga	PL	Ql				
Unidad 	Quilloloma 	M	Q				
Unidad 	Retama (Saraguro)	OM	R				
Unidad	Río Cala	K	Rc				
Unidad	Río Desgracia	K	Rd				
Unidad 	Río Frío	K	Rf				
Unidad	Río Guayacu	Pc	Rg				
Unidad 	Río Oña (Saraguro)	O	Ro				
Unidad	Río Panupali (Raspas)	K	Op				
Unidad 	Río Sinincapa (Saraguro)	O	Rs				
Unidad	Rumipamba	M	Ru				
Unidad	Sabanilla (Loja)	Tr	Ls				
Unidad	Sacapalca	E?	Sa				
Unidad	San Juan	K	Sj				
Unidad	San Juan de Lachas	OM	Sjl				
Unidad 	San Miguel de Naranjal	E	Sn				
Unidad	San Vicente	Pc	Sv				
Unidad	Saquisilí	Pc	S				
Unidad	Sarihuiña	MPL	Sñ				
Unidad	Sayo Cruz	M	Sac				
Unidad	Shaime	K	Sh				
Unidad 	Shincata	PLPl	Sh				
Unidad	Silante	EO	Si				
Unidad	Solanda	E	Sd				
Unidad	Suro	PL	Su				
Unidad 	Susudel (Saraguro)	O	Su				
Unidad 	Tagsha	MPL	Th				
Unidad	Tambillo	MPL	Ta				
Unidad 	Tambo Pamba (Saraguro)	O	Tp				
Unidad	Tapala	J?	Ta				
Unidad	Taqui (Piedras)	Tr	Pt				
Unidad	Tesalia	O	Te				
Unidad	Tomebamba (Saraguro)	O	Stb				
Unidad	Tortugo	E	To				
Unidad	Tres Lagunas (Loja)	Tr	L				
Unidad 	Tuctu	MPL	Tu				
Unidad 	Tununyunga	MPL	Ty				
Unidad	Upano (Salado)	J	Su				
Unidad 	Urdaneta (Saraguro)	O	U				
Unidad	Uritusinga	EO	Ur				
Unidad	Yacuambi (Misahualli)	J	Ya				
Unidad	Yacuviña	M	Yv				
Unidad	Yapi	J	Y				
Unidad 	Yariguiña (Saraguro)	OM	Yg				
Unidad	Yunga (Saraguro)	O	Y				
Volcánicos	Cascajal 	MPL	Cs				
Volcánicos	Cerro Negro	Pl	Cn				
Volcánicos	Chiltazón	PLPl	Cz				
Volcánicos	Chutín	M?	C				
Volcánicos	El Chispo 	MPL	Ech				
Volcánicos	El Moran	MPL	Em				
Volcánicos	Golondrinas	PL	G				
Volcánicos	Huasi Chimba 	MPL	Hc				
Volcánicos	Litapungo	MPL	Lt				
Volcánicos	Monte Verde 	MPL	Mv				
Volcánicos	Otavalo	MPL	O				
Volcánicos	Parambas	MPL	Pa				
Volcánicos	Quebrada Calderón 	O	Qc				
Volcánicos	Quillopamba	MPL	Q				
Volcánicos	Rosa de Oro	M	Ro				
Volcánicos	Sanora	Pc	Sa				
Volcánicos	Tambo Blanco (Saraguro)	OM?	Tb				
Volcánicos	Tambor 	PL	T				
Volcánicos 	Cotacachi	TA	Cot				
Volcánicos 	Cotacachi	AA	Cot				
Volcánicos 	Cuicocha	TD	Cui				
Volcánicos 	Cuicocha	AA	Cui				
Volcánicos 	Cuicocha	RD	Cui				
Volcánicos 	Cushnirumi	TD	Csh				
Volcánicos 	Cushnirumi	TA	Csh				
Volcánicos 	Cushnirumi	RD	Csh				
Volcánicos 	Cushnirumi	AA	Csh				
Volcánicos 	Imbabura	Avl	Imb				
Volcánicos 	Imbabura	TA	Imb				
Volcánicos 	Mojanda-Fuya fuya	Avl	Moj				
Volcánicos 	Mojanda-Fuya fuya	TA	Moj				
Volcánicos 	Mojanda-Fuya fuya	AA	Moj				
Volcánicos	Ñagñaro	AA	Ña				
Volcánicos	Parulo	AA	Pr				
Volcánicos	Pichaví	AA	Pch				
Volcánicos	Pilabo	AA	Pil				
Volcánicos	Tumbatú	TRd 	Tu				
Volcánicos	Yanaurcu	AA	Ya				
